a	啊阿呵吖锕
nu	努怒奴
nuan	暖
nuo	挪诺糯
nv	女钕
nve	虐疟
la	拉啦辣蜡腊
lai	来赖莱
lan	蓝兰栏烂拦篮懒澜
lang	浪狼郎朗廊琅
lao	老劳牢捞涝
le	了乐勒
lei	类累雷泪蕾磊
leng	冷愣棱
li	里力立离李利理例历礼丽
lia	俩
lian	连脸联恋练链
liang	两亮量良凉粮辆梁晾谅
liao	了料聊疗辽廖
lie	列烈猎裂劣
lin	林临邻淋琳霖
ling	领令零灵铃龄玲陵
liu	六留流刘柳榴
lo	咯
long	龙笼隆聋垄拢咙
lou	楼搂漏篓
lu	路录露卢炉鲁陆鹿
luan	乱卵
lun	论轮伦沦
luo	落罗洛螺络逻锣
lv	绿旅律吕铝
lue	略掠
ga	嘎噶
gai	该改盖概
gan	干感敢甘赶肝杆竿秆
gang	刚钢岗港缸冈
gao	高搞告糕
ge	个各哥歌格隔割革阁葛
gei	给
gen	跟根亘艮
geng	更耕梗
gong	工公共供功宫攻恭
gou	够构购沟狗钩
gu	古顾故骨鼓谷姑
gua	挂刮瓜寡褂
guai	怪拐乖
guan	关管观馆官惯冠罐
guang	光广逛
gui	规贵鬼归桂柜硅
gun	滚棍辊
guo	国过果锅郭裹
ka	卡咖喀
kai	开凯慨楷
kan	看刊砍堪勘
kang	抗扛康糠慷
kao	考靠烤犒
ke	可克科客课刻颗壳渴
kei	剋
ken	肯啃垦恳
keng	坑吭铿
kong	空控孔恐
kou	口扣寇叩
ku	苦库哭酷裤枯
kua	跨夸垮挎侉
kuai	快块筷
kuan	宽款
kuang	狂矿框况旷
kui	亏奎愧溃窥葵
kun	困昆捆坤鲲
kuo	阔括扩廓
ha	哈蛤铪
hai	还海害嗨
han	汉含喊寒韩汗旱憾
hang	行航巷杭夯
hao	好号豪毫耗浩郝嚎濠壕灏皓
he	和喝合河何赫盒贺荷
hei	黑嘿
hen	很恨狠痕
heng	横衡恒哼
hong	红轰洪虹宏鸿烘哄
hou	后厚候猴吼喉
hu	湖呼户护互壶胡糊蝴
hua	化话花画华划滑哗
huai	坏怀槐徊
huan	换还环欢患缓焕
huang	黄慌皇荒煌晃凰谎
hui	会回挥汇灰辉惠慧悔
hun	婚混魂昏浑
huo	活火或货获伙豁祸
ji	机几及级极己记即集计济技季寄纪急基
jia	家加价佳假架甲稼
jian	见建间件剑健检减简尖肩艰
jiang	将讲江姜奖降酱疆
jiao	叫教脚交角觉饺焦郊骄
jie	接结节街界姐借介揭皆
jin	进今近金紧仅尽斤劲
jing	经京精景静惊净镜井敬
jiong	窘炯
jiu	就九久旧酒救舅究
ju	局举句据剧具距巨聚拒
juan	卷圈倦绢捐
jue	觉决绝爵倔掘崛
jun	军均君俊菌
qi	起其期气七器汽奇齐妻启
qia	恰掐
qian	前钱千签浅迁谦牵钳
qiang	强抢墙腔枪
qiao	桥悄敲瞧巧窍鞘俏
qie	切且窃怯
qin	亲琴侵勤秦擒
qing	清请轻情晴青庆倾卿
qiong	穷琼
qiu	求球秋丘囚
qu	去取区趣曲趋屈驱
quan	全权圈劝拳泉券
que	却确缺雀鹊
qun	群裙
xi	西希喜系细席习析息洗戏惜悉
xia	下夏吓虾瞎侠狭
xian	先线现险显鲜限贤县闲
xiang	想向相象像响香乡项箱
xiao	小笑校消效销晓
xie	写些谢协鞋血斜邪泄
xin	新心信欣辛薪锌
xing	行星性形醒姓幸兴杏
xiong	兄熊胸凶汹
xiu	修秀休袖绣锈
xu	需须许续序虚叙蓄
xuan	选宣旋玄悬轩
xue	学雪血穴靴薛
xun	寻训讯迅巡询勋
zha	炸扎渣闸眨诈榨
zhai	摘窄宅寨债
zhan	站占战展沾盏斩
zhang	长张章涨帐障丈掌仗账
zhao	找着照招朝赵罩沼
zhe	这者着折哲浙蔗
zhei	这
zhen	真镇阵震针珍枕侦
zheng	正整争政征证郑症
zhi	之只知制直至指值纸质支志治职止址
zhong	中种重众终钟忠仲
zhou	周州洲舟粥轴
zhu	主住注猪诸竹逐祝柱
zhua	抓爪
zhuai	拽
zhuan	转专砖赚撰
zhuang	装壮状庄撞
zhui	追坠缀椎
zhun	准
zhuo	桌捉浊灼卓琢
cha	查茶差插察刹
chai	拆柴
chan	产缠禅蝉馋铲
chang	长常场厂唱畅昌尝偿
chao	超朝吵炒抄潮
che	车彻撤澈
chen	陈沉晨臣尘辰衬趁
cheng	成城程称乘诚承呈惩
chi	吃迟持池齿尺赤耻
chong	冲充虫崇宠重
chou	抽愁丑筹绸稠瞅
chu	出处初除楚础储厨
chua	欻
chuai	揣踹
chuan	穿传船串喘川
chuang	床创窗闯
chui	吹垂锤炊
chun	春纯唇蠢醇
chuo	戳绰辍啜
sha	杀沙纱傻啥刹
shai	筛晒
shan	山闪善扇衫删珊
shang	上伤商裳赏晌
shao	少烧勺稍绍哨梢
she	设社射蛇摄舍涉
shei	谁
shen	深身什神甚审伸慎
sheng	生声胜升省圣剩牲
shi	是时十事实师诗始示世释市史使士势
shou	手收首受瘦寿授售
shu	书数树输属鼠束暑述
shua	刷耍
shuai	帅摔甩率
shuan	拴栓闩涮
shuang	双爽霜
shui	水谁睡税
shun	顺吮瞬
shuo	说朔硕烁
ran	然燃染
rang	让嚷壤
rao	绕扰饶
re	热惹
ren	人认任忍仁韧
reng	仍扔
ri	日
rong	容易融荣绒
rou	肉柔揉
ru	如入儒乳辱
rua	挼
ruan	软
rui	锐瑞蕊
run	润闰
ruo	若弱
za	杂砸咋扎咂
zai	在再载灾栽宰
zan	咱赞暂攒
zang	脏葬赃
zao	早造遭糟枣燥
ze	则责择泽
zei	贼
zen	怎
zeng	增赠
zi	子自字紫资姿滋
zong	总纵宗综棕踪
zou	走奏揍邹
zu	组足族租阻祖
zuan	钻纂攥
zui	最嘴醉罪
zun	尊遵
zuo	做作坐座左昨
ca	擦嚓礤
cai	才采菜财猜材裁
can	参残餐惨灿
cang	仓藏苍舱沧
cao	草操糙槽曹
ce	册测策侧厕
cen	岑涔
ceng	层曾蹭
ci	次此词辞慈磁瓷赐
cong	从匆葱聪丛
cou	凑腠
cu	粗醋促簇
cuan	窜蹿篡
cui	脆翠催摧崔淬
cun	村存寸
cuo	措错挫搓锉
sa	撒洒萨卅仨
sai	赛塞腮
san	三散伞叁
sang	桑嗓丧
sao	扫嫂骚搔
se	色塞涩瑟啬铯
sen	森
seng	僧
si	四思死司似私丝肆
song	送松速诵宋颂
sou	搜艘嗽擞
su	速素诉宿塑缩俗苏酥粟
suan	算酸蒜
sui	随岁虽碎穗遂
sun	损孙笋
suo	所锁索琐
wa	挖娃蛙瓦袜洼娲
wai	外歪
wan	完万晚玩碗湾婉挽剜
wang	王望往网忘汪旺亡
wei	为位未围维伟卫微喂尾危威
wen	问文闻温稳吻纹
weng	翁嗡瓮
wo	我握窝卧涡蜗沃
wu	五物无务屋武误吴雾悟舞
ya	压呀牙押鸭哑芽崖
yan	眼言严研验烟沿盐演雁
yang	样阳养羊洋扬仰氧
yao	要药摇遥咬腰邀耀
ye	也夜业叶爷野液页
yi	一以已意义易衣医依艺译议
yin	因音银引印隐阴姻
ying	应影英迎赢映鹰营
yo	哟唷
yong	用永拥勇涌泳庸
you	有又友由油右游优忧幽
yu	与育雨语于玉预域遇余欲鱼羽
yuan	元员远院原圆源愿园
yue	月越约乐岳跃阅悦
yun	云运允晕韵孕
w	ni hao	你好
w	nin hao	您好
w	xie xie	谢谢
w	zai jian	再见
w	bai bai	拜拜
w	zao an	早安
w	wan an	晚安
w	zao shang hao	早上好
w	xia wu hao	下午好
w	wan shang hao	晚上好
w	dui bu qi	对不起
w	mei guan xi	没关系
w	bu ke qi	不客气
w	ma fan	麻烦
w	bao qian	抱歉
w	dao rao	打扰
w	gong xi	恭喜
w	gong xi fa cai	恭喜发财
w	jia you	加油
w	xin ku le	辛苦了
w	huan ying	欢迎
w	hao de	好的
w	zai ma	在吗
w	mei shi	没事
w	bu yong	不用
w	ha ha	哈哈
w	hei hei	嘿嘿
w	he he	呵呵
w	xi xi	嘻嘻
w	ming bai	明白
w	wo men	我们
w	ni men	你们
w	ta men	他们
w	ta men	她们
w	da jia	大家
w	zi ji	自己
w	bie ren	别人
w	shen me	什么
w	zen me	怎么
w	wei shen me	为什么
w	zen me yang	怎么样
w	zen me ban	怎么办
w	na li	哪里
w	na ge	哪个
w	zhe ge	这个
w	na ge	那个
w	zhe xie	这些
w	na xie	那些
w	zhe li	这里
w	na li	那里
w	zhe yang	这样
w	na yang	那样
w	xian zai	现在
w	yi hou	以后
w	yi qian	以前
w	yin wei	因为
w	suo yi	所以
w	dan shi	但是
w	er qie	而且
w	ru guo	如果
w	sui ran	虽然
w	yi jing	已经
w	hai shi	还是
w	huo zhe	或者
w	yi qi	一起
w	fei chang	非常
w	te bie	特别
w	zhen de	真的
w	ke neng	可能
w	ying gai	应该
w	bi xu	必须
w	ke yi	可以
w	yuan yi	愿意
w	neng gou	能够
w	zhong yu	终于
w	qi shi	其实
w	dang ran	当然
w	ling wai	另外
w	ran hou	然后
w	yu shi	于是
w	bu guo	不过
w	zhi shi	只是
w	jiu shi	就是
w	suo you	所有
w	zhi you	只有
w	yi zhi	一直
w	yi ding	一定
w	yi ban	一般
w	yi xie	一些
w	yi xia	一下
w	yi dian	一点
w	jing chang	经常
w	zong shi	总是
w	cong lai	从来
w	ou er	偶尔
w	ma shang	马上
w	li ke	立刻
w	tu ran	突然
w	zui jin	最近
w	gang cai	刚才
w	ping shi	平时
w	zan shi	暂时
w	shou xian	首先
w	qi ci	其次
w	zui hou	最后
w	yuan lai	原来
w	nan dao	难道
w	jian zhi	简直
w	bi jiao	比较
w	geng jia	更加
w	yue lai yue	越来越
w	cha bu duo	差不多
w	cha dian	差点
w	gan jin	赶紧
w	gan kuai	赶快
w	lian mang	连忙
w	man man	慢慢
w	dao chu	到处
w	dao di	到底
w	jiu jing	究竟
w	mei you	没有
w	bu shi	不是
w	jin tian	今天
w	ming tian	明天
w	zuo tian	昨天
w	hou tian	后天
w	shang wu	上午
w	xia wu	下午
w	wan shang	晚上
w	zao shang	早上
w	zhong wu	中午
w	shi jian	时间
w	fen zhong	分钟
w	xiao shi	小时
w	miao zhong	秒钟
w	xing qi	星期
w	zhou mo	周末
w	yue fen	月份
w	jin nian	今年
w	ming nian	明年
w	qu nian	去年
w	jia qi	假期
w	jie ri	节日
w	chun jie	春节
w	sheng ri	生日
w	shi hou	时候
w	chun tian	春天
w	xia tian	夏天
w	qiu tian	秋天
w	dong tian	冬天
w	yuan dan	元旦
w	wei xin	微信
w	peng you quan	朋友圈
w	fa peng you quan	发朋友圈
w	xiao xi	消息
w	fa song	发送
w	hui fu	回复
w	ping lun	评论
w	dian zan	点赞
w	zhuan fa	转发
w	shou cang	收藏
w	lian xi	联系
w	lian xi ren	联系人
w	tong xun lu	通讯录
w	dian hua	电话
w	da dian hua	打电话
w	duan xin	短信
w	shi pin	视频
w	shi pin tong hua	视频通话
w	yu yin	语音
w	liao tian	聊天
w	qun liao	群聊
w	hong bao	红包
w	zhuan zhang	转账
w	zhi fu	支付
w	fu kuan	付款
w	shou kuan	收款
w	er wei ma	二维码
w	sao ma	扫码
w	sao yi sao	扫一扫
w	yao yi yao	摇一摇
w	tian jia	添加
w	hao you	好友
w	tou xiang	头像
w	ni cheng	昵称
w	bei zhu	备注
w	ping bi	屏蔽
w	la hei	拉黑
w	biao qing	表情
w	biao qing bao	表情包
w	zhuang tai	状态
w	qian ming	签名
w	che hui	撤回
w	zhi ding	置顶
w	mian da rao	免打扰
w	wei du	未读
w	cao gao	草稿
w	wei xin zhi fu	微信支付
w	wei xin hong bao	微信红包
w	ling qian	零钱
w	deng lu	登录
w	zhu ce	注册
w	zhang hao	账号
w	mi ma	密码
w	yan zheng ma	验证码
w	tui chu	退出
w	zhu xiao	注销
w	ge ren	个人
w	ge ren xin xi	个人信息
w	shi ming ren zheng	实名认证
w	da kai	打开
w	guan bi	关闭
w	she zhi	设置
w	que ren	确认
w	qu xiao	取消
w	fan hui	返回
w	shou ye	首页
w	sou suo	搜索
w	xia zai	下载
w	an zhuang	安装
w	geng xin	更新
w	sheng ji	升级
w	xie zai	卸载
w	shan chu	删除
w	bao cun	保存
w	bian ji	编辑
w	fu zhi	复制
w	fu zhi lian jie	复制链接
w	zhan tie	粘贴
w	fen xiang	分享
w	xuan ze	选择
w	shang chuan	上传
w	zhuo mian	桌面
w	tu biao	图标
w	ping mu	屏幕
w	suo ping	锁屏
w	jie suo	解锁
w	liang du	亮度
w	yin liang	音量
w	jing yin	静音
w	zhen dong	振动
w	fei xing mo shi	飞行模式
w	dian chi	电池
w	chong dian	充电
w	chong dian qi	充电器
w	chong dian bao	充电宝
w	yi dong dian yuan	移动电源
w	shu ju xian	数据线
w	er ji	耳机
w	lan ya	蓝牙
w	lan ya er ji	蓝牙耳机
w	wu xian er ji	无线耳机
w	wang luo	网络
w	wu xian wang	无线网
w	wu xian wang luo	无线网络
w	liu liang	流量
w	re dian	热点
w	xin hao	信号
w	tong zhi	通知
w	ti xing	提醒
w	nao zhong	闹钟
w	ri li	日历
w	bei wang lu	备忘录
w	ji suan qi	计算器
w	xiang ji	相机
w	pai zhao	拍照
w	lu xiang	录像
w	shan guang deng	闪光灯
w	jie tu	截图
w	ding wei	定位
w	dao hang	导航
w	di tu	地图
w	lu xian	路线
w	di zhi	地址
w	shu ru fa	输入法
w	shu ru kuang	输入框
w	shou xie	手写
w	jian pan	键盘
w	chong qi	重启
w	guan ji	关机
w	kai ji	开机
w	xi ping	息屏
w	liang ping	亮屏
w	zhi wen	指纹
w	ren lian	人脸
w	mian rong	面容
w	quan xian	权限
w	yin si	隐私
w	yun xu	允许
w	huan cun	缓存
w	qing li	清理
w	cun chu	存储
w	nei cun	内存
w	ban ben	版本
w	cai dan	菜单
w	jie mian	界面
w	gong neng	功能
w	mo shi	模式
w	zhu ti	主题
w	bi zhi	壁纸
w	zi ti	字体
w	ling sheng	铃声
w	chang an	长按
w	shuang ji	双击
w	dian ji	点击
w	hua dong	滑动
w	tuo dong	拖动
w	suo fang	缩放
w	xuan zhuan	旋转
w	qie huan	切换
w	kai qi	开启
w	sou suo kuang	搜索框
w	shou ji	手机
w	shou ji ke	手机壳
w	shou ji mo	手机膜
w	shou ji hao	手机号
w	shou ji hao ma	手机号码
w	tie mo	贴膜
w	dian nao	电脑
w	bi ji ben	笔记本
w	ping ban	平板
w	shu biao	鼠标
w	xi tong	系统
w	ruan jian	软件
w	ying jian	硬件
w	cheng xu	程序
w	wen jian	文件
w	wen jian jia	文件夹
w	tu pian	图片
w	zhao pian	照片
w	xiang ce	相册
w	yin yue	音乐
w	dian ying	电影
w	dian shi	电视
w	dian shi ju	电视剧
w	dong hua	动画
w	man hua	漫画
w	xiao shuo	小说
w	you xi	游戏
w	wan you xi	玩游戏
w	zhi bo	直播
w	zhu bo	主播
w	dan mu	弹幕
w	fen si	粉丝
w	guan zhu	关注
w	zong yi	综艺
w	bo fang qi	播放器
w	fu wu qi	服务器
w	shu ju	数据
w	zhi neng	智能
w	ren gong zhi neng	人工智能
w	ji qi ren	机器人
w	duan shi pin	短视频
w	kan dian ying	看电影
w	ting yin yue	听音乐
w	shang wang	上网
w	liu lan qi	浏览器
w	wang ye	网页
w	lian jie	链接
w	wang zhan	网站
w	you xiang	邮箱
w	you jian	邮件
w	ke fu	客服
w	ding dan	订单
w	gou wu	购物
w	gou mai	购买
w	chu shou	出售
w	kuai di	快递
w	kuai di yuan	快递员
w	qu kuai di	取快递
w	shou kuai di	收快递
w	wai mai	外卖
w	pei song	配送
w	shou huo	收货
w	ping jia	评价
w	you hui quan	优惠券
w	zhe kou	折扣
w	da zhe	打折
w	jia ge	价格
w	yu e	余额
w	tui kuan	退款
w	fa piao	发票
w	zhang dan	账单
w	xiao fei	消费
w	zhi fu bao	支付宝
w	yin hang	银行
w	xian jin	现金
w	gong zi	工资
w	jiang jin	奖金
w	cun kuan	存款
w	dai kuan	贷款
w	li xi	利息
w	hui lv	汇率
w	xin yong ka	信用卡
w	shou ru	收入
w	zhi chu	支出
w	mian fei	免费
w	bao you	包邮
w	fa huo	发货
w	wu liu	物流
w	zai xian	在线
w	li xian	离线
w	shua xin	刷新
w	jia zai	加载
w	shao deng	稍等
w	shao hou	稍后
w	ban quan	版权
w	chong zhi	充值
w	hui yuan	会员
w	ding yue	订阅
w	zhu ye	主页
w	wo de	我的
w	ge ren zhong xin	个人中心
w	xiao xi zhong xin	消息中心
w	ying yong	应用
w	ying yong shang dian	应用商店
w	wei bo	微博
w	dou yin	抖音
w	kuai shou	快手
w	tao bao	淘宝
w	jing dong	京东
w	mei tuan	美团
w	bai du	百度
w	zhi hu	知乎
w	bi li bi li	哔哩哔哩
w	pin duo duo	拼多多
w	xiao hong shu	小红书
w	gao de	高德
w	xie cheng	携程
w	xian yu	闲鱼
w	wang yi yun	网易云
w	xi ma la ya	喜马拉雅
w	chi fan	吃饭
w	zao can	早餐
w	wu can	午餐
w	wan can	晚餐
w	zuo fan	做饭
w	mi fan	米饭
w	mian tiao	面条
w	mian bao	面包
w	niu nai	牛奶
w	ka fei	咖啡
w	nai cha	奶茶
w	he shui	喝水
w	yin liao	饮料
w	guo zhi	果汁
w	pi jiu	啤酒
w	shui guo	水果
w	ping guo	苹果
w	xiang jiao	香蕉
w	pu tao	葡萄
w	xi gua	西瓜
w	cao mei	草莓
w	shu cai	蔬菜
w	qing cai	青菜
w	tu dou	土豆
w	xi hong shi	西红柿
w	ji dan	鸡蛋
w	zhu rou	猪肉
w	niu rou	牛肉
w	yang rou	羊肉
w	ji rou	鸡肉
w	huo guo	火锅
w	shao kao	烧烤
w	xiao chi	小吃
w	ling shi	零食
w	tian pin	甜品
w	dan gao	蛋糕
w	qiao ke li	巧克力
w	bing qi lin	冰淇淋
w	hao chi	好吃
w	hao he	好喝
w	hao kan	好看
w	hao yong	好用
w	can ting	餐厅
w	fan dian	饭店
w	dian cai	点菜
w	ding can	订餐
w	song can	送餐
w	song wai mai	送外卖
w	fu wu yuan	服务员
w	mai dan	买单
w	jie zhang	结账
w	shui jiao	睡觉
w	qi chuang	起床
w	xi zao	洗澡
w	xi shou	洗手
w	xi lian	洗脸
w	shua ya	刷牙
w	chu men	出门
w	hui jia	回家
w	jia li	家里
w	fang jian	房间
w	wo shi	卧室
w	chu fang	厨房
w	ke ting	客厅
w	yang tai	阳台
w	wei sheng jian	卫生间
w	fang zi	房子
w	jia ju	家具
w	yi fu	衣服
w	xi yi fu	洗衣服
w	ku zi	裤子
w	xie zi	鞋子
w	mao zi	帽子
w	yan jing	眼镜
w	shou biao	手表
w	qian bao	钱包
w	yao shi	钥匙
w	yu san	雨伞
w	shu bao	书包
w	kong tiao	空调
w	bing xiang	冰箱
w	xi yi ji	洗衣机
w	yao kong qi	遥控器
w	sha fa	沙发
w	yi zi	椅子
w	chuang hu	窗户
w	kai deng	开灯
w	guan deng	关灯
w	kai kong tiao	开空调
w	ba ba	爸爸
w	ma ma	妈妈
w	ge ge	哥哥
w	jie jie	姐姐
w	di di	弟弟
w	mei mei	妹妹
w	ye ye	爷爷
w	nai nai	奶奶
w	wai gong	外公
w	wai po	外婆
w	hai zi	孩子
w	er zi	儿子
w	nv er	女儿
w	jia ren	家人
w	qin qi	亲戚
w	lin ju	邻居
w	nan ren	男人
w	nv ren	女人
w	nan hai	男孩
w	nv hai	女孩
w	nan peng you	男朋友
w	nv peng you	女朋友
w	zhang fu	丈夫
w	qi zi	妻子
w	mu qin	母亲
w	fu qin	父亲
w	ming zi	名字
w	gong zuo	工作
w	shang ban	上班
w	xia ban	下班
w	jia ban	加班
w	hui yi	会议
w	kai hui	开会
w	ban gong shi	办公室
w	gong si	公司
w	tong shi	同事
w	lao ban	老板
w	jing li	经理
w	yuan gong	员工
w	jian li	简历
w	mian shi	面试
w	xue xi	学习
w	xue xiao	学校
w	lao shi	老师
w	xue sheng	学生
w	tong xue	同学
w	shang ke	上课
w	xia ke	下课
w	kao shi	考试
w	cheng ji	成绩
w	zuo ye	作业
w	fu xi	复习
w	yu xi	预习
w	bi ye	毕业
w	da xue	大学
w	zhong xue	中学
w	xiao xue	小学
w	tu shu guan	图书馆
w	jiao shi	教室
w	ke ben	课本
w	zhi shi	知识
w	wen ti	问题
w	mei wen ti	没问题
w	da an	答案
w	ying yu	英语
w	zhong wen	中文
w	shu xue	数学
w	wu li	物理
w	hua xue	化学
w	li shi	历史
w	di li	地理
w	yu wen	语文
w	sheng wu	生物
w	ti yu	体育
w	wen hua	文化
w	jiao yu	教育
w	yi yuan	医院
w	yi sheng	医生
w	kan bing	看病
w	gua hao	挂号
w	yu yue	预约
w	yao dian	药店
w	gan mao	感冒
w	fa shao	发烧
w	ke sou	咳嗽
w	tou teng	头疼
w	du zi	肚子
w	sheng bing	生病
w	zhu yuan	住院
w	da zhen	打针
w	shen ti	身体
w	jian kang	健康
w	duan lian	锻炼
w	yun dong	运动
w	pao bu	跑步
w	you yong	游泳
w	jian shen	健身
w	yu jia	瑜伽
w	lan qiu	篮球
w	zu qiu	足球
w	pai qiu	排球
w	ping pang	乒乓
w	wang qiu	网球
w	lv you	旅游
w	lv xing	旅行
w	jing dian	景点
w	jing qu	景区
w	men piao	门票
w	ji piao	机票
w	huo che	火车
w	gao tie	高铁
w	di tie	地铁
w	gong jiao	公交
w	gong jiao che	公交车
w	chu zu che	出租车
w	da che	打车
w	kai che	开车
w	ting che	停车
w	jia you zhan	加油站
w	che zhan	车站
w	ji chang	机场
w	gao su gong lu	高速公路
w	lu kou	路口
w	hong lv deng	红绿灯
w	jiu dian	酒店
w	bin guan	宾馆
w	min su	民宿
w	hu zhao	护照
w	qian zheng	签证
w	xing li	行李
w	wei zhi	位置
w	fu jin	附近
w	zhou bian	周边
w	mu de di	目的地
w	chu fa	出发
w	dao da	到达
w	pai dui	排队
w	dan che	单车
w	zi xing che	自行车
w	dian dong che	电动车
w	tian qi	天气
w	xia yu	下雨
w	xia xue	下雪
w	qing tian	晴天
w	yin tian	阴天
w	wen du	温度
w	kong qi	空气
w	yu bao	预报
w	gua feng	刮风
w	da lei	打雷
w	shan dian	闪电
w	tai feng	台风
w	gao xing	高兴
w	kai xin	开心
w	kuai le	快乐
w	nan guo	难过
w	nan shou	难受
w	sheng qi	生气
w	zhao ji	着急
w	jin zhang	紧张
w	hai pa	害怕
w	jing ya	惊讶
w	xing fu	幸福
w	jiao ao	骄傲
w	wei qu	委屈
w	wu liao	无聊
w	you qu	有趣
w	you yi si	有意思
w	wen rou	温柔
w	yong gan	勇敢
w	cong ming	聪明
w	piao liang	漂亮
w	ke ai	可爱
w	gan jing	干净
w	an jing	安静
w	re nao	热闹
w	shu fu	舒服
w	pi lao	疲劳
w	xin ku	辛苦
w	jian dan	简单
w	fu za	复杂
w	rong yi	容易
w	kun nan	困难
w	zhong yao	重要
w	jin ji	紧急
w	an quan	安全
w	wei xian	危险
w	zheng que	正确
w	cuo wu	错误
w	cheng gong	成功
w	shi bai	失败
w	you ming	有名
w	zhu ming	著名
w	liu xing	流行
w	shi shang	时尚
w	chuan tong	传统
w	xian dai	现代
w	xin xian	新鲜
w	nian qing	年轻
w	pu tong	普通
w	qi guai	奇怪
w	ren zhen	认真
w	nu li	努力
w	su liao	塑料
w	la ji	垃圾
w	huan bao	环保
w	zhi dao	知道
w	ren wei	认为
w	jue de	觉得
w	ren shi	认识
w	liao jie	了解
w	li jie	理解
w	jie shi	解释
w	shuo ming	说明
w	biao shi	表示
w	jie shao	介绍
w	tao lun	讨论
w	jiao liu	交流
w	gou tong	沟通
w	tong yi	同意
w	fan dui	反对
w	zhi chi	支持
w	xiang xin	相信
w	xi huan	喜欢
w	tao yan	讨厌
w	xi wang	希望
w	gan jue	感觉
w	xiang xiang	想象
w	si kao	思考
w	kao lv	考虑
w	jue ding	决定
w	ji hua	计划
w	an pai	安排
w	zhun bei	准备
w	kai shi	开始
w	jie shu	结束
w	ji xu	继续
